idx,target,predict
1,0,-11.95
2,0.03,-11.95
3,0.03,-11.95
4,0.03,-11.95
5,0.03,-11.95
6,0.03,-11.95
7,0.03,-11.95
8,0.03,-11.95
9,0.03,-11.95
10,0.03,-11.95
11,0.03,-11.95
12,0.03,-11.95
13,0.03,-11.95
14,0.03,-11.95
15,0.03,-11.95
16,0.03,-11.95
17,0.03,-11.95
18,0.03,-11.95
19,0.03,-11.95
20,0.03,-11.95
21,0.03,-11.95
22,0.03,-11.95
23,0.03,-11.95
24,0.03,-11.95
25,0.03,-11.95
26,0.03,-11.95
27,0.03,-11.95
28,0.03,-11.95
29,0.03,-11.95
30,0.83,-11.1
31,1.63,-10.2500000000001
32,1.63,-10.2500000000001
33,2.43,-9.40000000000003
34,3.23,-8.55000000000001
35,3.23,-8.55000000000001
36,3.23,-8.55000000000001
37,4.03,-7.69999999999999
38,4.83,-6.84999999999997
39,4.83,-6.84999999999997
40,4.83,-6.84999999999997
41,4.83,-6.84999999999997
42,4.83,-6.84999999999997
43,4.83,-6.84999999999997
44,4.83,-6.84999999999997
45,4.83,-6.84999999999997
46,4.83,-6.84999999999997
47,4.83,-6.84999999999997
48,4.83,-6.84999999999997
49,4.83,-6.84999999999997
50,4.83,-6.84999999999997
51,4.83,-6.84999999999997
52,4.83,-6.84999999999997
53,4.73,-6.94999999999988
54,4.53,-7.14999999999992
55,4.53,-7.14999999999992
56,4.53,-7.14999999999992
57,4.53,-7.14999999999992
58,5.03,-8.34999999999997
59,5.03,-8.34999999999997
60,5.03,-8.34999999999997
61,5.03,-8.34999999999997
62,5.03,-8.34999999999997
63,5.03,-8.34999999999997
64,5.03,-8.34999999999997
65,5.03,-8.34999999999997
66,5.03,-8.34999999999997
67,5.03,-8.34999999999997
68,5.03,-8.34999999999997
69,5.83,-7.47500000000008
70,6.63,-6.60000000000008
71,6.63,-6.60000000000008
72,6.63,-6.60000000000008
73,6.63,-6.60000000000008
74,6.63,-6.60000000000008
75,6.63,-6.60000000000008
76,6.63,-6.60000000000008
77,6.63,-6.60000000000008
